*Energy (MeV/u)	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	1 - [H -base] J.F.Ziegler et al, Pergamon Press, NY (low energy)	2 - ATIMA 1.2  LS-theory (recommended for high energy)	3 - ATIMA 1.2  without LS-correction	4 - Range straggling - method [0] - LISE	5 - Range straggling - method [1] - Atima	6 - Lateral range - method [0] - LISE	7 - Lateral range - method [1] - Atima	8 - Lateral range - method [2] - PDG
30805.243830	4.78962e+07	6.36323e+07	1.03791e+08	1.03961e+08	137111    	542339    	63035.4   	66070.4   	97952.8   
30898.876787	4.79442e+07	6.37384e+07	1.04084e+08	1.04254e+08	137298    	544487    	63154.2   	66189.5   	98135.1   
30992.509743	4.79922e+07	6.38445e+07	1.04376e+08	1.04548e+08	137486    	546635    	63273.1   	66308.7   	98317.3   
31086.142700	4.80402e+07	6.39506e+07	1.04669e+08	1.04841e+08	137673    	548784    	63391.9   	66427.8   	98499.5   
31179.775657	4.80883e+07	6.40567e+07	1.04962e+08	1.05134e+08	137860    	550932    	63510.8   	66546.9   	98681.7   
31273.408614	4.81363e+07	6.41628e+07	1.05255e+08	1.05427e+08	138048    	553080    	63629.6   	66666     	98863.9   
31367.041571	4.81843e+07	6.42688e+07	1.05548e+08	1.05721e+08	138235    	555228    	63748.5   	66785.1   	99046.1   
31460.674528	4.82323e+07	6.43749e+07	1.05841e+08	1.06014e+08	138422    	557376    	63867.3   	66904.3   	99228.3   
31554.307485	4.82803e+07	6.4481e+07	1.06134e+08	1.06307e+08	138610    	559525    	63986.2   	67023.4   	99410.6   
31647.940442	4.83283e+07	6.45871e+07	1.06427e+08	1.06601e+08	138797    	561673    	64105     	67142.5   	99592.8   
31741.573399	4.83763e+07	6.46932e+07	1.0672e+08	1.06894e+08	138984    	563821    	64223.9   	67261.6   	99775     
31835.206356	4.84243e+07	6.47993e+07	1.07013e+08	1.07187e+08	139171    	565969    	64342.7   	67380.7   	99957.2   
31928.839313	4.84723e+07	6.49054e+07	1.07305e+08	1.0748e+08	139359    	568118    	64461.6   	67499.9   	100139    
32022.472270	4.85193e+07	6.50103e+07	1.07598e+08	1.07773e+08	139544    	570277    	64580     	67618.4   	100321    
32116.105227	4.85633e+07	6.51114e+07	1.07889e+08	1.08065e+08	139725    	572470    	64697     	67735.3   	100500    
32209.738184	4.86073e+07	6.52126e+07	1.0818e+08	1.08356e+08	139905    	574664    	64813.9   	67852.2   	100679    
32303.371140	4.86513e+07	6.53137e+07	1.08471e+08	1.08648e+08	140085    	576858    	64930.9   	67969.1   	100858    
32397.004097	4.86953e+07	6.54149e+07	1.08763e+08	1.08939e+08	140266    	579052    	65047.8   	68086     	101037    
32490.637054	4.87393e+07	6.5516e+07	1.09054e+08	1.0923e+08	140446    	581245    	65164.8   	68202.9   	101216    
32584.270011	4.87832e+07	6.56172e+07	1.09345e+08	1.09522e+08	140626    	583439    	65281.8   	68319.8   	101395    
32677.902968	4.88272e+07	6.57183e+07	1.09636e+08	1.09813e+08	140806    	585633    	65398.7   	68436.7   	101574    
32771.535925	4.88712e+07	6.58195e+07	1.09927e+08	1.10105e+08	140987    	587826    	65515.7   	68553.6   	101753    
32865.168882	4.89152e+07	6.59206e+07	1.10218e+08	1.10396e+08	141167    	590020    	65632.7   	68670.5   	101932    
32958.801839	4.89592e+07	6.60217e+07	1.10509e+08	1.10688e+08	141347    	592214    	65749.6   	68787.4   	102111    
33052.434796	4.90032e+07	6.61229e+07	1.108e+08 	1.10979e+08	141527    	594408    	65866.6   	68904.3   	102290    
