*Tele EF EB theta(degree) phi(degree)
   0 12 12       30.1294     176.919
   0 12 13       30.1488     176.228
   0 12 14       30.1717     175.538
   0 12 15       30.1983     174.848
   0 12 16       30.2285     174.159
   0 12 17       30.2622     173.472
   0 12 18       30.2996     172.786
   0 12 19       30.3405     172.102
   0 12 20       30.3850     171.420
   0 12 21       30.4330     170.739
   0 12 22       30.4845     170.061
   0 12 23       30.5394     169.385
   0 12 24       30.5979     168.712
   0 12 25       30.6597     168.042
   0 12 26       30.7250     167.374
   0 12 27       30.7936     166.709
   0 12 28       30.8655     166.048
   0 12 29       30.9407     165.390
   0 12 30       31.0192     164.735
   0 12 31       31.1009     164.084
   0 13  0       30.5244     185.141
   0 13  1       30.5010     184.464
   0 13  2       30.4811     183.786
   0 13  3       30.4647     183.106
   0 13  4       30.4518     182.426
   0 13  5       30.4424     181.743
   0 13  6       30.4366     181.061
   0 13  7       30.4343     180.377
   0 13  8       30.4356     179.693
   0 13  9       30.4405     179.008
   0 13 10       30.4489     178.323
   0 13 11       30.4610     177.639
   0 13 12       30.4766     176.954
   0 13 13       30.4958     176.270
   0 13 14       30.5185     175.587
   0 13 15       30.5449     174.904
   0 13 16       30.5748     174.222
   0 13 17       30.6082     173.542
   0 13 18       30.6452     172.863
   0 13 19       30.6857     172.186
   0 13 20       30.7297     171.510
   0 13 21       30.7772     170.836
   0 13 22       30.8281     170.165
   0 13 23       30.8825     169.496
   0 13 24       30.9402     168.829
   0 13 25       31.0014     168.164
   0 13 26       31.0659     167.503
   0 13 27       31.1337     166.845
   0 13 28       31.2048     166.189
   0 13 29       31.2792     165.537
   0 13 30       31.3568     164.888
   0 13 31       31.4375     164.243
   0 14  0       30.8694     185.092
   0 14  1       30.8465     184.423
   0 14  2       30.8270     183.751
   0 14  3       30.8109     183.079
   0 14  4       30.7983     182.405
   0 14  5       30.7892     181.729
   0 14  6       30.7836     181.053
   0 14  7       30.7815     180.377
   0 14  8       30.7829     179.699
   0 14  9       30.7878     179.022
   0 14 10       30.7963     178.344
   0 14 11       30.8083     177.666
   0 14 12       30.8238     176.988
   0 14 13       30.8429     176.311
   0 14 14       30.8655     175.635
   0 14 15       30.8916     174.959
   0 14 16       30.9212     174.284
   0 14 17       30.9543     173.611
   0 14 18       30.9909     172.938
   0 14 19       31.0310     172.268
   0 14 20       31.0745     171.599
   0 14 21       31.1215     170.931
   0 14 22       31.1719     170.266
   0 14 23       31.2256     169.603
   0 14 24       31.2828     168.943
   0 14 25       31.3432     168.285
   0 14 26       31.4070     167.630
   0 14 27       31.4741     166.977
   0 14 28       31.5444     166.328
   0 14 29       31.6179     165.682
   0 14 30       31.6946     165.039
   0 14 31       31.7744     164.399
   0 15  0       31.2146     185.045
   0 15  1       31.1921     184.382
   0 15  2       31.1729     183.717
   0 15  3       31.1572     183.051
   0 15  4       31.1449     182.384
   0 15  5       31.1361     181.716
   0 15  6       31.1306     181.046
   0 15  7       31.1287     180.376
   0 15  8       31.1302     179.706
   0 15  9       31.1352     179.035
   0 15 10       31.1437     178.364
   0 15 11       31.1556     177.693
   0 15 12       31.1711     177.022
   0 15 13       31.1900     176.352
   0 15 14       31.2124     175.682
   0 15 15       31.2383     175.013
   0 15 16       31.2677     174.345
   0 15 17       31.3005     173.678
   0 15 18       31.3367     173.012
   0 15 19       31.3764     172.348
   0 15 20       31.4194     171.685
   0 15 21       31.4659     171.025
   0 15 22       31.5157     170.366
   0 15 23       31.5689     169.709
   0 15 24       31.6254     169.055
   0 15 25       31.6852     168.403
   0 15 26       31.7483     167.754
   0 15 27       31.8146     167.107
   0 15 28       31.8841     166.464
   0 15 29       31.9568     165.824
   0 15 30       32.0326     165.186
   0 15 31       32.1115     164.552
   0 16  0       31.5597     184.999
   0 16  1       31.5376     184.342
   0 16  2       31.5189     183.684
   0 16  3       31.5035     183.025
   0 16  4       31.4915     182.364
   0 16  5       31.4829     181.702
   0 16  6       31.4777     181.039
