*Tele EF EB theta(degree) phi(degree)
   3 14  9       48.6979     238.995
   3 14 10       48.4478     238.682
   3 14 11       48.1984     238.367
   3 14 12       47.9498     238.049
   3 14 13       47.7019     237.728
   3 14 14       47.4549     237.404
   3 14 15       47.2087     237.078
   3 14 16       46.9633     236.749
   3 14 17       46.7189     236.418
   3 14 18       46.4754     236.084
   3 14 19       46.2329     235.747
   3 14 20       45.9914     235.407
   3 14 21       45.7509     235.065
   3 14 22       45.5115     234.720
   3 14 23       45.2732     234.372
   3 14 24       45.0360     234.022
   3 14 25       44.8001     233.668
   3 14 26       44.5653     233.312
   3 14 27       44.3318     232.953
   3 14 28       44.0995     232.592
   3 14 29       43.8686     232.227
   3 14 30       43.6390     231.860
   3 14 31       43.4108     231.490
   3 15  0       51.2011     241.366
   3 15  1       50.9471     241.076
   3 15  2       50.6935     240.783
   3 15  3       50.4404     240.488
   3 15  4       50.1878     240.190
   3 15  5       49.9357     239.889
   3 15  6       49.6841     239.586
   3 15  7       49.4331     239.281
   3 15  8       49.1827     238.973
   3 15  9       48.9329     238.662
   3 15 10       48.6838     238.349
   3 15 11       48.4354     238.034
   3 15 12       48.1877     237.715
   3 15 13       47.9409     237.394
   3 15 14       47.6948     237.071
   3 15 15       47.4495     236.745
   3 15 16       47.2052     236.416
   3 15 17       46.9617     236.084
   3 15 18       46.7192     235.750
   3 15 19       46.4776     235.413
   3 15 20       46.2371     235.074
   3 15 21       45.9976     234.731
   3 15 22       45.7591     234.386
   3 15 23       45.5218     234.039
   3 15 24       45.2856     233.688
   3 15 25       45.0506     233.335
   3 15 26       44.8168     232.979
   3 15 27       44.5842     232.621
   3 15 28       44.3530     232.260
   3 15 29       44.1230     231.896
   3 15 30       43.8943     231.529
   3 15 31       43.6671     231.159
   3 16  0       51.4284     241.039
   3 16  1       51.1754     240.748
   3 16  2       50.9228     240.455
   3 16  3       50.6706     240.159
   3 16  4       50.4190     239.861
   3 16  5       50.1678     239.560
   3 16  6       49.9172     239.257
   3 16  7       49.6671     238.951
   3 16  8       49.4177     238.643
   3 16  9       49.1689     238.332
   3 16 10       48.9208     238.019
   3 16 11       48.6733     237.703
   3 16 12       48.4266     237.385
   3 16 13       48.1807     237.063
   3 16 14       47.9356     236.740
   3 16 15       47.6914     236.414
   3 16 16       47.4480     236.085
   3 16 17       47.2055     235.753
   3 16 18       46.9639     235.419
   3 16 19       46.7233     235.082
   3 16 20       46.4838     234.743
   3 16 21       46.2452     234.400
   3 16 22       46.0078     234.056
   3 16 23       45.7714     233.708
   3 16 24       45.5362     233.358
   3 16 25       45.3021     233.005
   3 16 26       45.0693     232.650
   3 16 27       44.8377     232.291
   3 16 28       44.6073     231.931
   3 16 29       44.3783     231.567
   3 16 30       44.1506     231.201
   3 16 31       43.9243     230.832
   3 17  0       51.6566     240.714
   3 17  1       51.4046     240.423
   3 17  2       51.1529     240.129
   3 17  3       50.9017     239.833
   3 17  4       50.6510     239.535
   3 17  5       50.4008     239.234
   3 17  6       50.1512     238.930
   3 17  7       49.9021     238.624
   3 17  8       49.6536     238.316
   3 17  9       49.4058     238.005
   3 17 10       49.1587     237.691
   3 17 11       48.9122     237.375
   3 17 12       48.6665     237.056
   3 17 13       48.4216     236.735
   3 17 14       48.1774     236.411
   3 17 15       47.9341     236.085
   3 17 16       47.6917     235.756
   3 17 17       47.4502     235.425
   3 17 18       47.2096     235.090
   3 17 19       46.9700     234.754
   3 17 20       46.7314     234.414
   3 17 21       46.4938     234.072
   3 17 22       46.2573     233.728
   3 17 23       46.0219     233.380
   3 17 24       45.7877     233.031
   3 17 25       45.5546     232.678
   3 17 26       45.3227     232.323
   3 17 27       45.0920     231.965
   3 17 28       44.8627     231.604
   3 17 29       44.6346     231.241
   3 17 30       44.4078     230.875
   3 17 31       44.1824     230.507
   3 18  0       51.8857     240.392
   3 18  1       51.6346     240.100
   3 18  2       51.3839     239.806
   3 18  3       51.1337     239.509
   3 18  4       50.8840     239.210
   3 18  5       50.6348     238.909
   3 18  6       50.3861     238.605
   3 18  7       50.1380     238.299
   3 18  8       49.8905     237.990
   3 18  9       49.6436     237.679
   3 18 10       49.3974     237.365
   3 18 11       49.1520     237.049
   3 18 12       48.9072     236.730
   3 18 13       48.6633     236.409
   3 18 14       48.4201     236.085
   3 18 15       48.1778     235.759
   3 18 16       47.9363     235.430
   3 18 17       47.6958     235.099
   3 18 18       47.4562     234.765
   3 18 19       47.2175     234.428
   3 18 20       46.9799     234.089
   3 18 21       46.7433     233.747
   3 18 22       46.5078     233.402
   3 18 23       46.2733     233.055
   3 18 24       46.0401     232.706
   3 18 25       45.8079     232.354
   3 18 26       45.5770     231.999
   3 18 27       45.3473     231.641
   3 18 28       45.1189     231.281
   3 18 29       44.8917     230.919
   3 18 30       44.6659     230.553
   3 18 31       44.4415     230.185
   3 19  0       52.1156     240.071
   3 19  1       51.8655     239.779
   3 19  2       51.6158     239.484
   3 19  3       51.3666     239.188
   3 19  4       51.1178     238.888
   3 19  5       50.8695     238.587
   3 19  6       50.6218     238.283
   3 19  7       50.3747     237.976
   3 19  8       50.1282     237.667
   3 19  9       49.8823     237.356
   3 19 10       49.6371     237.042
   3 19 11       49.3926     236.726
   3 19 12       49.1488     236.407
   3 19 13       48.9059     236.086
   3 19 14       48.6637     235.762
   3 19 15       48.4223     235.436
   3 19 16       48.1819     235.107
   3 19 17       47.9423     234.775
   3 19 18       47.7036     234.441
   3 19 19       47.4660     234.105
   3 19 20       47.2293     233.766
   3 19 21       46.9937     233.424
   3 19 22       46.7591     233.080
   3 19 23       46.5256     232.733
   3 19 24       46.2933     232.384
   3 19 25       46.0621     232.032
   3 19 26       45.8322     231.678
   3 19 27       45.6034     231.321
   3 19 28       45.3759     230.961
   3 19 29       45.1497     230.599
   3 19 30       44.9249     230.234
   3 19 31       44.7013     229.867
   3 20  0       52.3463     239.752
   3 20  1       52.0972     239.460
   3 20  2       51.8485     239.165
   3 20  3       51.6002     238.868
   3 20  4       51.3524     238.569
   3 20  5       51.1051     238.267
   3 20  6       50.8584     237.963
   3 20  7       50.6123     237.656
   3 20  8       50.3667     237.347
   3 20  9       50.1218     237.035
   3 20 10       49.8776     236.721
   3 20 11       49.6341     236.405
   3 20 12       49.3913     236.086
   3 20 13       49.1493     235.765
   3 20 14       48.9081     235.441
   3 20 15       48.6677     235.115
   3 20 16       48.4282     234.786
   3 20 17       48.1896     234.455
   3 20 18       47.9519     234.121
   3 20 19       47.7152     233.784
   3 20 20       47.4795     233.446
   3 20 21       47.2449     233.104
   3 20 22       47.0113     232.760
   3 20 23       46.7788     232.414
   3 20 24       46.5474     232.065
   3 20 25       46.3172     231.713
   3 20 26       46.0882     231.359
   3 20 27       45.8604     231.003
   3 20 28       45.6338     230.644
   3 20 29       45.4086     230.282
   3 20 30       45.1846     229.918
   3 20 31       44.9620     229.551
   3 21  0       52.5779     239.436
   3 21  1       52.3297     239.143
   3 21  2       52.0819     238.848
   3 21  3       51.8346     238.551
   3 21  4       51.5878     238.251
   3 21  5       51.3415     237.949
   3 21  6       51.0958     237.645
   3 21  7       50.8506     237.338
   3 21  8       50.6060     237.028
   3 21  9       50.3621     236.717
   3 21 10       50.1189     236.403
   3 21 11       49.8763     236.086
   3 21 12       49.6345     235.768
   3 21 13       49.3935     235.446
   3 21 14       49.1533     235.122
   3 21 15       48.9139     234.796
   3 21 16       48.6754     234.467
   3 21 17       48.4377     234.136
   3 21 18       48.2010     233.803
   3 21 19       47.9653     233.467
   3 21 20       47.7306     233.128
   3 21 21       47.4969     232.787
   3 21 22       47.2642     232.443
   3 21 23       47.0327     232.097
   3 21 24       46.8023     231.749
   3 21 25       46.5730     231.398
   3 21 26       46.3449     231.044
   3 21 27       46.1181     230.688
   3 21 28       45.8925     230.329
   3 21 29       45.6682     229.968
   3 21 30       45.4452     229.605
   3 21 31       45.2235     229.239
   3 22  0       52.8101     239.121
   3 22  1       52.5629     238.828
   3 22  2       52.3161     238.533
   3 22  3       52.0698     238.235
   3 22  4       51.8240     237.936
   3 22  5       51.5787     237.633
   3 22  6       51.3339     237.329
   3 22  7       51.0897     237.022
   3 22  8       50.8461     236.713
   3 22  9       50.6032     236.401
   3 22 10       50.3609     236.087
   3 22 11       50.1194     235.770
   3 22 12       49.8786     235.451
   3 22 13       49.6385     235.130
   3 22 14       49.3992     234.806
   3 22 15       49.1608     234.480
   3 22 16       48.9233     234.152
   3 22 17       48.6866     233.821
   3 22 18       48.4509     233.487
   3 22 19       48.2161     233.151
   3 22 20       47.9824     232.813
   3 22 21       47.7496     232.472
   3 22 22       47.5180     232.129
   3 22 23       47.2874     231.783
   3 22 24       47.0579     231.435
   3 22 25       46.8296     231.085
   3 22 26       46.6025     230.731
   3 22 27       46.3766     230.376
   3 22 28       46.1519     230.018
   3 22 29       45.9285     229.657
   3 22 30       45.7065     229.295
   3 22 31       45.4857     228.929
   3 23  0       53.0431     238.809
   3 23  1       52.7969     238.516
   3 23  2       52.5511     238.220
   3 23  3       52.3058     237.922
   3 23  4       52.0609     237.622
   3 23  5       51.8166     237.320
   3 23  6       51.5728     237.015
   3 23  7       51.3296     236.708
   3 23  8       51.0870     236.399
   3 23  9       50.8450     236.087
   3 23 10       50.6037     235.773
   3 23 11       50.3632     235.457
   3 23 12       50.1233     235.138
   3 23 13       49.8842     234.816
   3 23 14       49.6460     234.493
   3 23 15       49.4085     234.167
   3 23 16       49.1719     233.838
   3 23 17       48.9363     233.508
   3 23 18       48.7015     233.174
   3 23 19       48.4677     232.839
   3 23 20       48.2349     232.501
   3 23 21       48.0032     232.160
   3 23 22       47.7724     231.817
   3 23 23       47.5428     231.472
   3 23 24       47.3143     231.124
   3 23 25       47.0869     230.774
   3 23 26       46.8607     230.422
   3 23 27       46.6358     230.067
   3 23 28       46.4120     229.709
   3 23 29       46.1896     229.349
   3 23 30       45.9684     228.987
   3 23 31       45.7486     228.623
   3 24  0       53.2767     238.498
   3 24  1       53.0315     238.205
   3 24  2       52.7867     237.909
   3 24  3       52.5424     237.611
   3 24  4       52.2985     237.311
   3 24  5       52.0552     237.009
   3 24  6       51.8123     236.704
   3 24  7       51.5701     236.397
   3 24  8       51.3285     236.087
   3 24  9       51.0875     235.776
   3 24 10       50.8472     235.462
   3 24 11       50.6076     235.145
   3 24 12       50.3688     234.826
   3 24 13       50.1307     234.505
   3 24 14       49.8934     234.182
   3 24 15       49.6569     233.856
   3 24 16       49.4213     233.528
   3 24 17       49.1866     233.197
   3 24 18       48.9528     232.864
   3 24 19       48.7200     232.529
   3 24 20       48.4882     232.191
   3 24 21       48.2574     231.851
   3 24 22       48.0276     231.508
   3 24 23       47.7989     231.164
   3 24 24       47.5714     230.816
   3 24 25       47.3449     230.467
   3 24 26       47.1197     230.115
   3 24 27       46.8957     229.760
   3 24 28       46.6729     229.403
   3 24 29       46.4513     229.044
   3 24 30       46.2311     228.683
   3 24 31       46.0122     228.319
   3 25  0       53.5111     238.190
   3 25  1       53.2668     237.897
   3 25  2       53.0230     237.601
   3 25  3       52.7796     237.303
   3 25  4       52.5368     237.002
   3 25  5       52.2944     236.700
   3 25  6       52.0526     236.395
   3 25  7       51.8113     236.088
   3 25  8       51.5707     235.778
   3 25  9       51.3307     235.467
   3 25 10       51.0914     235.153
   3 25 11       50.8528     234.836
   3 25 12       50.6149     234.517
   3 25 13       50.3778     234.196
   3 25 14       50.1415     233.873
   3 25 15       49.9060     233.547
   3 25 16       49.6714     233.219
   3 25 17       49.4376     232.889
   3 25 18       49.2048     232.556
   3 25 19       48.9730     232.221
   3 25 20       48.7421     231.884
   3 25 21       48.5122     231.544
   3 25 22       48.2834     231.202
   3 25 23       48.0557     230.858
   3 25 24       47.8291     230.511
   3 25 25       47.6036     230.162
   3 25 26       47.3793     229.810
   3 25 27       47.1562     229.456
   3 25 28       46.9343     229.100
   3 25 29       46.7137     228.742
   3 25 30       46.4944     228.381
   3 25 31       46.2764     228.018
   3 26  0       53.7460     237.884
   3 26  1       53.5028     237.590
   3 26  2       53.2599     237.294
   3 26  3       53.0176     236.996
   3 26  4       52.7757     236.696
   3 26  5       52.5343     236.393
   3 26  6       52.2935     236.088
   3 26  7       52.0532     235.781
   3 26  8       51.8136     235.471
   3 26  9       51.5746     235.160
   3 26 10       51.3362     234.846
   3 26 11       51.0986     234.529
   3 26 12       50.8617     234.211
   3 26 13       50.6256     233.890
   3 26 14       50.3902     233.567
   3 26 15       50.1557     233.241
   3 26 16       49.9221     232.914
   3 26 17       49.6893     232.584
   3 26 18       49.4574     232.251
   3 26 19       49.2265     231.917
   3 26 20       48.9966     231.579
   3 26 21       48.7677     231.240
   3 26 22       48.5399     230.898
   3 26 23       48.3131     230.555
   3 26 24       48.0874     230.208
   3 26 25       47.8629     229.860
   3 26 26       47.6395     229.509
   3 26 27       47.4174     229.156
   3 26 28       47.1964     228.800
   3 26 29       46.9768     228.442
   3 26 30       46.7584     228.082
   3 26 31       46.5413     227.720
   3 27  0       53.9816     237.580
   3 27  1       53.7393     237.286
   3 27  2       53.4975     236.990
   3 27  3       53.2561     236.692
   3 27  4       53.0152     236.391
   3 27  5       52.7748     236.088
   3 27  6       52.5349     235.783
   3 27  7       52.2957     235.476
   3 27  8       52.0570     235.167
   3 27  9       51.8190     234.855
   3 27 10       51.5817     234.541
   3 27 11       51.3450     234.225
   3 27 12       51.1091     233.907
   3 27 13       50.8739     233.586
   3 27 14       50.6396     233.263
   3 27 15       50.4060     232.938
   3 27 16       50.1733     232.610
   3 27 17       49.9415     232.281
   3 27 18       49.7107     231.949
   3 27 19       49.4807     231.614
   3 27 20       49.2518     231.278
   3 27 21       49.0238     230.939
   3 27 22       48.7969     230.597
   3 27 23       48.5711     230.254
   3 27 24       48.3464     229.908
   3 27 25       48.1228     229.560
   3 27 26       47.9004     229.210
   3 27 27       47.6791     228.857
   3 27 28       47.4591     228.502
   3 27 29       47.2403     228.145
   3 27 30       47.0228     227.786
   3 27 31       46.8067     227.424
   3 28  0       54.2177     237.278
   3 28  1       53.9764     236.984
   3 28  2       53.7356     236.688
   3 28  3       53.4952     236.389
   3 28  4       53.2553     236.089
   3 28  5       53.0159     235.786
   3 28  6       52.7770     235.481
   3 28  7       52.5387     235.174
   3 28  8       52.3011     234.865
   3 28  9       52.0640     234.553
   3 28 10       51.8277     234.239
   3 28 11       51.5920     233.923
   3 28 12       51.3571     233.605
   3 28 13       51.1229     233.284
   3 28 14       50.8895     232.962
   3 28 15       50.6569     232.637
   3 28 16       50.4252     232.310
   3 28 17       50.1944     231.980
   3 28 18       49.9645     231.648
   3 28 19       49.7355     231.314
   3 28 20       49.5075     230.978
   3 28 21       49.2805     230.640
   3 28 22       49.0546     230.299
   3 28 23       48.8297     229.956
   3 28 24       48.6059     229.611
   3 28 25       48.3832     229.263
   3 28 26       48.1617     228.914
   3 28 27       47.9414     228.562
   3 28 28       47.7223     228.208
   3 28 29       47.5045     227.851
   3 28 30       47.2879     227.493
   3 28 31       47.0726     227.132
   3 29  0       54.4544     236.978
   3 29  1       54.2141     236.684
   3 29  2       53.9742     236.387
   3 29  3       53.7348     236.089
   3 29  4       53.4959     235.788
   3 29  5       53.2575     235.486
   3 29  6       53.0196     235.181
   3 29  7       52.7823     234.874
   3 29  8       52.5456     234.565
   3 29  9       52.3096     234.253
   3 29 10       52.0742     233.939
   3 29 11       51.8395     233.624
   3 29 12       51.6056     233.306
   3 29 13       51.3724     232.985
   3 29 14       51.1400     232.663
   3 29 15       50.9084     232.338
   3 29 16       50.6776     232.011
   3 29 17       50.4478     231.682
   3 29 18       50.2188     231.351
   3 29 19       49.9908     231.017
   3 29 20       49.7638     230.681
   3 29 21       49.5377     230.343
   3 29 22       49.3127     230.003
   3 29 23       49.0888     229.661
   3 29 24       48.8659     229.316
   3 29 25       48.6442     228.969
   3 29 26       48.4236     228.620
   3 29 27       48.2042     228.269
   3 29 28       47.9860     227.916
   3 29 29       47.7691     227.560
   3 29 30       47.5534     227.202
   3 29 31       47.3390     226.842
   3 30  0       54.6915     236.680
   3 30  1       54.4522     236.386
   3 30  2       54.2134     236.089
   3 30  3       53.9750     235.791
   3 30  4       53.7370     235.490
   3 30  5       53.4996     235.188
   3 30  6       53.2627     234.883
   3 30  7       53.0264     234.576
   3 30  8       52.7908     234.267
   3 30  9       52.5557     233.955
   3 30 10       52.3213     233.642
   3 30 11       52.0876     233.326
   3 30 12       51.8546     233.008
   3 30 13       51.6224     232.688
   3 30 14       51.3910     232.366
   3 30 15       51.1603     232.042
   3 30 16       50.9306     231.715
   3 30 17       50.7017     231.386
   3 30 18       50.4737     231.056
   3 30 19       50.2466     230.722
   3 30 20       50.0205     230.387
   3 30 21       49.7954     230.050
   3 30 22       49.5714     229.710
   3 30 23       49.3484     229.368
   3 30 24       49.1265     229.024
   3 30 25       48.9057     228.678
   3 30 26       48.6860     228.329
   3 30 27       48.4675     227.979
   3 30 28       48.2502     227.626
   3 30 29       48.0342     227.271
   3 30 30       47.8194     226.914
   3 30 31       47.6059     226.555
   3 31  0       54.9292     236.384
   3 31  1       54.6909     236.090
   3 31  2       54.4530     235.793
   3 31  3       54.2156     235.495
   3 31  4       53.9787     235.194
   3 31  5       53.7422     234.892
   3 31  6       53.5064     234.587
   3 31  7       53.2711     234.280
   3 31  8       53.0363     233.971
   3 31  9       52.8023     233.660
   3 31 10       52.5689     233.347
   3 31 11       52.3361     233.031
   3 31 12       52.1041     232.714
   3 31 13       51.8729     232.394
   3 31 14       51.6424     232.072
   3 31 15       51.4128     231.748
   3 31 16       51.1840     231.422
   3 31 17       50.9560     231.093
   3 31 18       50.7290     230.763
   3 31 19       50.5029     230.430
   3 31 20       50.2778     230.095
   3 31 21       50.0536     229.758
   3 31 22       49.8305     229.419
   3 31 23       49.6084     229.078
   3 31 24       49.3874     228.735
   3 31 25       49.1676     228.389
   3 31 26       48.9488     228.041
   3 31 27       48.7313     227.691
   3 31 28       48.5149     227.340
   3 31 29       48.2998     226.985
   3 31 30       48.0859     226.629
   3 31 31       47.8733     226.271
   4  0  0       45.3793     183.777
   4  0  1       45.3642     183.296
   4  0  2       45.3510     182.813
   4  0  3       45.3399     182.330
   4  0  4       45.3309     181.847
   4  0  5       45.3238     181.362
   4  0  6       45.3188     180.877
   4  0  7       45.3159     180.392
   4  0  8       45.3150     179.906
   4  0  9       45.3162     179.420
   4  0 10       45.3195     178.933
   4  0 11       45.3248     178.446
   4  0 12       45.3322     177.959
   4  0 13       45.3416     177.472
   4  0 14       45.3532     176.985
   4  0 15       45.3668     176.498
   4  0 16       45.3825     176.011
   4  0 17       45.4002     175.525
   4  0 18       45.4200     175.038
   4  0 19       45.4419     174.552
   4  0 20       45.4658     174.067
   4  0 21       45.4918     173.581
   4  0 22       45.5199     173.097
   4  0 23       45.5500     172.613
   4  0 24       45.5821     172.129
   4  0 25       45.6162     171.647
   4  0 26       45.6524     171.165
   4  0 27       45.6905     170.684
   4  0 28       45.7306     170.204
   4  0 29       45.7727     169.725
   4  0 30       45.8168     169.247
   4  0 31       45.8628     168.770
   4  1  0       45.7226     183.759
   4  1  1       45.7077     183.281
   4  1  2       45.6949     182.801
   4  1  3       45.6840     182.320
   4  1  4       45.6752     181.839
   4  1  5       45.6683     181.357
   4  1  6       45.6635     180.875
   4  1  7       45.6607     180.392
   4  1  8       45.6600     179.909
   4  1  9       45.6613     179.425
   4  1 10       45.6646     178.941
   4  1 11       45.6700     178.457
   4  1 12       45.6774     177.973
   4  1 13       45.6869     177.488
   4  1 14       45.6984     177.004
   4  1 15       45.7120     176.519
   4  1 16       45.7276     176.035
   4  1 17       45.7453     175.551
   4  1 18       45.7650     175.067
   4  1 19       45.7868     174.584
   4  1 20       45.8106     174.101
   4  1 21       45.8364     173.618
   4  1 22       45.8643     173.136
   4  1 23       45.8942     172.655
   4  1 24       45.9260     172.174
   4  1 25       45.9599     171.694
   4  1 26       45.9958     171.214
   4  1 27       46.0336     170.736
   4  1 28       46.0735     170.258
   4  1 29       46.1152     169.782
   4  1 30       46.1590     169.306
   4  1 31       46.2046     168.832
   4  2  0       46.0662     183.742
   4  2  1       46.0517     183.266
   4  2  2       46.0391     182.789
   4  2  3       46.0285     182.311
   4  2  4       46.0198     181.832
   4  2  5       46.0132     181.353
   4  2  6       46.0086     180.873
   4  2  7       46.0059     180.393
   4  2  8       46.0053     179.912
   4  2  9       46.0067     179.431
   4  2 10       46.0101     178.949
   4  2 11       46.0155     178.468
   4  2 12       46.0230     177.986
   4  2 13       46.0325     177.504
   4  2 14       46.0440     177.022
   4  2 15       46.0576     176.541
   4  2 16       46.0732     176.059
   4  2 17       46.0908     175.577
   4  2 18       46.1104     175.096
   4  2 19       46.1321     174.615
   4  2 20       46.1557     174.135
   4  2 21       46.1814     173.655
   4  2 22       46.2091     173.175
   4  2 23       46.2387     172.696
   4  2 24       46.2704     172.218
   4  2 25       46.3040     171.740
   4  2 26       46.3396     171.263
   4  2 27       46.3772     170.787
   4  2 28       46.4167     170.312
   4  2 29       46.4581     169.838
   4  2 30       46.5015     169.365
   4  2 31       46.5468     168.893
   4  3  0       46.4102     183.725
   4  3  1       46.3960     183.251
   4  3  2       46.3836     182.776
   4  3  3       46.3733     182.301
   4  3  4       46.3648     181.825
   4  3  5       46.3584     181.348
   4  3  6       46.3539     180.871
   4  3  7       46.3514     180.393
   4  3  8       46.3510     179.915
   4  3  9       46.3525     179.436
   4  3 10       46.3560     178.958
   4  3 11       46.3615     178.478
   4  3 12       46.3690     177.999
   4  3 13       46.3785     177.520
   4  3 14       46.3900     177.041
   4  3 15       46.4035     176.561
   4  3 16       46.4191     176.082
   4  3 17       46.4366     175.603
   4  3 18       46.4561     175.125
   4  3 19       46.4777     174.646
   4  3 20       46.5012     174.168
   4  3 21       46.5267     173.691
   4  3 22       46.5542     173.213
   4  3 23       46.5837     172.737
   4  3 24       46.6151     172.261
   4  3 25       46.6485     171.786
   4  3 26       46.6838     171.312
   4  3 27       46.7211     170.838
   4  3 28       46.7603     170.365
   4  3 29       46.8014     169.894
   4  3 30       46.8444     169.423
   4  3 31       46.8893     168.953
   4  4  0       46.7546     183.708
   4  4  1       46.7406     183.236
   4  4  2       46.7285     182.764
   4  4  3       46.7184     182.291
   4  4  4       46.7102     181.818
   4  4  5       46.7039     181.344
   4  4  6       46.6996     180.869
   4  4  7       46.6973     180.394
   4  4  8       46.6969     179.918
   4  4  9       46.6985     179.442
   4  4 10       46.7021     178.966
   4  4 11       46.7077     178.489
   4  4 12       46.7152     178.012
   4  4 13       46.7248     177.536
   4  4 14       46.7363     177.059
   4  4 15       46.7498     176.582
   4  4 16       46.7653     176.105
   4  4 17       46.7827     175.629
   4  4 18       46.8022     175.153
   4  4 19       46.8236     174.677
   4  4 20       46.8470     174.201
   4  4 21       46.8723     173.726
   4  4 22       46.8997     173.252
   4  4 23       46.9289     172.778
   4  4 24       46.9601     172.304
   4  4 25       46.9933     171.831
   4  4 26       47.0283     171.359
   4  4 27       47.0653     170.888
   4  4 28       47.1042     170.418
   4  4 29       47.1450     169.949
   4  4 30       47.1876     169.480
   4  4 31       47.2322     169.013
   4  5  0       47.0992     183.691
   4  5  1       47.0855     183.222
   4  5  2       47.0736     182.752
   4  5  3       47.0637     182.282
   4  5  4       47.0558     181.811
   4  5  5       47.0497     181.339
   4  5  6       47.0456     180.867
   4  5  7       47.0434     180.394
   4  5  8       47.0432     179.921
   4  5  9       47.0449     179.447
   4  5 10       47.0486     178.973
   4  5 11       47.0542     178.499
   4  5 12       47.0618     178.025
   4  5 13       47.0714     177.551
   4  5 14       47.0829     177.077
   4  5 15       47.0964     176.603
   4  5 16       47.1118     176.128
   4  5 17       47.1292     175.654
   4  5 18       47.1485     175.181
   4  5 19       47.1698     174.707
   4  5 20       47.1931     174.234
   4  5 21       47.2183     173.762
   4  5 22       47.2454     173.289
   4  5 23       47.2745     172.818
   4  5 24       47.3055     172.347
   4  5 25       47.3384     171.876
   4  5 26       47.3732     171.407
   4  5 27       47.4099     170.938
   4  5 28       47.4484     170.470
   4  5 29       47.4889     170.003
   4  5 30       47.5312     169.537
   4  5 31       47.5754     169.072
   4  6  0       47.4440     183.674
   4  6  1       47.4306     183.208
   4  6  2       47.4191     182.740
   4  6  3       47.4094     182.272
   4  6  4       47.4016     181.804
   4  6  5       47.3958     181.334
   4  6  6       47.3918     180.865
   4  6  7       47.3898     180.394
   4  6  8       47.3897     179.924
   4  6  9       47.3916     179.453
   4  6 10       47.3953     178.981
   4  6 11       47.4010     178.510
   4  6 12       47.4086     178.038
   4  6 13       47.4182     177.566
   4  6 14       47.4297     177.095
   4  6 15       47.4432     176.623
   4  6 16       47.4586     176.151
   4  6 17       47.4759     175.680
   4  6 18       47.4952     175.208
   4  6 19       47.5164     174.737
   4  6 20       47.5395     174.267
   4  6 21       47.5645     173.796
   4  6 22       47.5915     173.327
   4  6 23       47.6203     172.858
   4  6 24       47.6511     172.389
   4  6 25       47.6838     171.921
   4  6 26       47.7183     171.454
   4  6 27       47.7547     170.987
   4  6 28       47.7930     170.522
   4  6 29       47.8331     170.057
   4  6 30       47.8751     169.594
   4  6 31       47.9189     169.131
   4  7  0       47.7892     183.658
   4  7  1       47.7760     183.194
   4  7  2       47.7647     182.729
   4  7  3       47.7553     182.263
   4  7  4       47.7478     181.797
   4  7  5       47.7421     181.330
   4  7  6       47.7383     180.863
   4  7  7       47.7365     180.395
   4  7  8       47.7365     179.927
   4  7  9       47.7384     179.458
   4  7 10       47.7423     178.989
   4  7 11       47.7480     178.520
   4  7 12       47.7557     178.051
   4  7 13       47.7653     177.581
   4  7 14       47.7768     177.112
   4  7 15       47.7903     176.643
   4  7 16       47.8056     176.173
   4  7 17       47.8229     175.704
   4  7 18       47.8420     175.236
   4  7 19       47.8631     174.767
   4  7 20       47.8861     174.299
   4  7 21       47.9110     173.831
   4  7 22       47.9378     173.364
   4  7 23       47.9664     172.897
   4  7 24       47.9970     172.431
   4  7 25       48.0294     171.965
   4  7 26       48.0637     171.500
   4  7 27       48.0998     171.036
   4  7 28       48.1378     170.573
   4  7 29       48.1776     170.111
   4  7 30       48.2192     169.649
   4  7 31       48.2626     169.189
   4  8  0       48.1345     183.641
   4  8  1       48.1216     183.180
   4  8  2       48.1106     182.717
   4  8  3       48.1014     182.254
   4  8  4       48.0941     181.790
   4  8  5       48.0886     181.326
   4  8  6       48.0850     180.861
   4  8  7       48.0833     180.395
   4  8  8       48.0835     179.929
   4  8  9       48.0855     179.463
   4  8 10       48.0895     178.997
   4  8 11       48.0953     178.530
   4  8 12       48.1030     178.063
   4  8 13       48.1126     177.596
   4  8 14       48.1242     177.129
   4  8 15       48.1376     176.663
   4  8 16       48.1529     176.196
   4  8 17       48.1701     175.729
   4  8 18       48.1892     175.263
   4  8 19       48.2101     174.796
   4  8 20       48.2330     174.331
   4  8 21       48.2577     173.865
   4  8 22       48.2843     173.400
   4  8 23       48.3128     172.936
   4  8 24       48.3431     172.472
   4  8 25       48.3753     172.009
   4  8 26       48.4093     171.546
   4  8 27       48.4451     171.084
   4  8 28       48.4828     170.624
   4  8 29       48.5223     170.163
   4  8 30       48.5635     169.704
   4  8 31       48.6066     169.246
   4  9  0       48.4800     183.625
   4  9  1       48.4674     183.166
   4  9  2       48.4567     182.706
   4  9  3       48.4477     182.245
   4  9  4       48.4406     181.783
   4  9  5       48.4354     181.321
   4  9  6       48.4319     180.859
   4  9  7       48.4304     180.396
   4  9  8       48.4307     179.932
   4  9  9       48.4328     179.468
   4  9 10       48.4369     179.004
   4  9 11       48.4428     178.540
   4  9 12       48.4505     178.076
   4  9 13       48.4602     177.611
   4  9 14       48.4717     177.147
   4  9 15       48.4851     176.682
   4  9 16       48.5003     176.218
   4  9 17       48.5175     175.753
