*F(0)/B(1)       tel     strip     Intercepts          Slope 
         0         6        30       -1.19076     0.00768403
         0         6        31       -1.31447     0.00725665
         0         7         0        -1.0267      0.0072263
         0         7         1       -1.24846     0.00742819
         0         7         2       -1.18231     0.00722255
         0         7         3       -1.28896     0.00736488
         0         7         4        -1.1135     0.00739134
         0         7         5       -1.40869     0.00741878
         0         7         6       -1.14381     0.00726764
         0         7         7       -1.40451      0.0073829
         0         7         8       -1.16446     0.00723356
         0         7         9       -1.29555      0.0073814
         0         7        10       -1.06613     0.00729929
	 0         7        11       -1.20286     0.00737015
         0         7        12       -1.13672     0.00725386
         0         7        13        -1.4052     0.00740611
         0         7        14       -1.09379     0.00724678
         0         7        15       -1.19248      0.0074232
         0         7        16       -1.17108     0.00726505
         0         7        17       -1.17412     0.00740983
         0         7        18       -1.17894     0.00725238
         0         7        19       -1.28282     0.00741216
         0         7        20       -1.06246      0.0072483
         0         7        21       -1.22736     0.00738124
         0         7        22       -1.17109     0.00725148
         0         7        23       -1.19567     0.00738612
         0         7        24       -1.20432     0.00728159
         0         7        25       -1.37014     0.00739278
         0         7        26       -1.07001     0.00722699
         0         7        27       -1.29703      0.0073845
         0         7        28       -1.18076     0.00725536
         0         7        29       -1.18118     0.00737148
         0         7        30       -1.06494     0.00722609
         0         7        31       -1.26879     0.00733684
         0         8         0      -0.934633     0.00723628
         0         8         1       -1.07807     0.00707393
         0         8         2       -1.13356     0.00731368
         0         8         3       -1.11019      0.0071081
         0         8         4       -1.16622     0.00726859
         0         8         5       -1.07904     0.00716974
         0         8         6      -0.969709     0.00726928
         0         8         7       -1.18103     0.00711167
         0         8         8       -1.11535     0.00726057
         0         8         9       -1.15749     0.00710373
         0         8        10       -1.08593      0.0072603
         0         8        11         -1.079     0.00710375
         0         8        12       -1.06845     0.00727577
         0         8        13       -1.11809     0.00708913
         0         8        14       -1.09578     0.00729949
         0         8        15       -1.27366     0.00710185
         0         8        16        -1.0673     0.00728725
         0         8        17       -1.24158     0.00709596
         0         8        18       -1.00224     0.00729591
         0         8        19       -1.25711     0.00704103
         0         8        20       -1.01959     0.00727044
         0         8        21       -1.15052     0.00705758
         0         8        22       -1.05057     0.00726904
         0         8        23       -0.99469     0.00705145
         0         8        24        -1.0569     0.00729438
         0         8        25       -1.25187     0.00704942
         0         8        26       -1.09344     0.00727395
         0         8        27       -1.20111     0.00703592
         0         8        28         -1.034     0.00725861
         0         8        29       -1.17523     0.00700288
         0         8        30       -1.08916     0.00727372
         0         8        31       -1.09103     0.00698102
         0         9         0       -1.04218     0.00732231
         0         9         1       -1.32866     0.00731192
         0         9         2       -1.15114     0.00735694
         0         9         3       -1.35792     0.00727346
         0         9         4       -1.14785     0.00738732
         0         9         5        -1.3834     0.00729526
         0         9         6       -1.21492     0.00736848
         0         9         7       -1.30711     0.00729312
         0         9         8       -1.13786     0.00736024
         0         9         9       -1.36306     0.00727008
         0         9        10       -1.05263     0.00738751
         0         9        11       -1.27751     0.00728348
         0         9        12        -1.1698     0.00734316
         0         9        13       -1.26949     0.00724267
         0         9        14       -1.09426     0.00736062
         0         9        15        -1.5597     0.00730071
         0         9        16       -1.13501     0.00738571
         0         9        17       -1.35872     0.00734155
         0         9        18        -1.0734      0.0073735
         0         9        19       -1.28962     0.00723435
         0         9        20       -1.02469     0.00737639
         0         9        21       -1.37351     0.00727381
         0         9        22        -1.2762     0.00737392
         0         9        23       -1.44326      0.0072497
         0         9        24       -1.12427     0.00731863
         0         9        25       -1.36865     0.00723352
         0         9        26       -1.15501     0.00736325
         0         9        27       -0.14998     0.00582974
         0         9        28       -1.18485     0.00733554
         0         9        29       -1.27398     0.00724146
         0         9        30        -1.3018     0.00732452
         0         9        31       -1.39322     0.00723907
         0        10         0      -0.884125     0.00710974
         0        10         1       -1.12804     0.00700863
         0        10         2      -0.976299     0.00713747
         0        10         3       -1.29553     0.00692341
         0        10         4       -1.15855     0.00714084
         0        10         5       -1.28421     0.00693339
         0        10         6       -1.15111     0.00710564
         0        10         7       -1.24738     0.00693807
         0        10         8      -0.958846     0.00715632
         0        10         9       -1.09831     0.00692265
         0        10        10      -0.970277     0.00712409
         0        10        11       -1.19462     0.00695235
         0        10        12      -0.940556     0.00714811
         0        10        13       -1.19672     0.00696662
         0        10        14       -1.14637     0.00713753
         0        10        15       -1.20864     0.00697038
         0        10        16       -1.11105     0.00711872
         0        10        17       -1.14677     0.00695506
         0        10        18       -1.12539     0.00714268
         0        10        19       -1.22566     0.00693545
         0        10        20       -1.13631     0.00712338
         0        10        21       -1.35581     0.00692688
         0        10        22       -1.00522     0.00710099
         0        10        23       -1.20511     0.00695609
         0        10        24       -1.06496     0.00712864
         0        10        25       -1.05376     0.00709584
         0        10        26        -1.1167     0.00713227
         0        10        27       -1.27258     0.00691364
         0        10        28       -1.08445     0.00711593
         0        10        29       -1.16948     0.00692416
         0        10        30       -1.15679     0.00711258
         0        10        31       -1.21665     0.00692579
         0        11         0       -1.17164     0.00718685
         0        11         1        -1.2754     0.00697166
         0        11         2       -1.08594     0.00717771
         0        11         3       -1.18365     0.00699095
         0        11         4       -1.00625     0.00719635
         0        11         5       -1.22606     0.00698759
         0        11         6       -1.16737     0.00720515
         0        11         7       -1.16876     0.00695968
         0        11         8       -1.04444     0.00716978
         0        11         9       -1.16111     0.00701286
         0        11        10       -1.06963     0.00717758
         0        11        11       -1.26631     0.00701926
         0        11        12       -1.09884     0.00717056
         0        11        13       -1.19294      0.0069846
         0        11        14       -1.17699     0.00720416
         0        11        15       -1.32297     0.00699693
         0        11        16       -1.20832     0.00719346
         0        11        17       -1.26481      0.0070053
         0        11        18       -1.10145     0.00718849
         0        11        19       -1.23198     0.00700243
         0        11        20        -1.0747     0.00717742
         0        11        21       -1.20016     0.00697308
         0        11        22        -1.1071     0.00716036
         0        11        23       -1.21794     0.00696361
         0        11        24       -1.07169     0.00718055
         0        11        25       -1.11097     0.00699874
         0        11        26       -1.09169     0.00718189
         0        11        27       -1.16913     0.00698565
         0        11        28       -1.12912     0.00716767
         0        11        29       -1.12717     0.00693803
         0        11        30       -1.02922     0.00720835
         1         0         0      -0.430737     0.00668421
         1         0         1      -0.460168     0.00677967
         1         0         2      -0.467542     0.00664829
         1         0         3       -0.32294     0.00679766
         1         0         4      -0.303681     0.00667537
         1         0         5      -0.358973     0.00679052
         1         0         6      -0.478177     0.00675297
         1         0         7      -0.382556     0.00682098
         1         0         8      -0.540411     0.00667814
         1         0         9      -0.671566     0.00679869
         1         0        10      -0.578944     0.00666304
         1         0        11      -0.504257     0.00684308
         1         0        12       -0.60049     0.00667011
         1         0        13      -0.490403       0.006859
         1         0        14      -0.474735     0.00676076
         1         0        15      -0.523016     0.00683078
         1         0        16      -0.585079     0.00665939
         1         0        17      -0.408097     0.00685154
         1         0        18       -1.21091     0.00666397
         1         0        19      -0.442333      0.0067878
         1         0        20      -0.677482     0.00662798
         1         0        21      -0.524606     0.00677143
         1         0        22      -0.521958     0.00670396
         1         0        23      -0.649323     0.00680462
         1         0        24      -0.665724     0.00663704
         1         0        25      -0.522594     0.00682601
         1         0        26      -0.678638     0.00666095
         1         0        27      -0.525422     0.00678168
         1         0        28      -0.632459     0.00664796
         1         0        29      -0.344458     0.00687172
         1         0        30      -0.784662     0.00661246
         1         0        31      -0.668065     0.00675111
         1         1         0      -0.369152     0.00671681
         1         1         1      -0.297299     0.00692019
         1         1         2      -0.507025     0.00663735
         1         1         3      -0.520039     0.00694641
         1         1         4      -0.326185     0.00680661
         1         1         5      -0.506506      0.0068923
         1         1         6      -0.471194     0.00665807
         1         1         7      -0.162511     0.00696051
         1         1         8      -0.396903     0.00688933
         1         1         9      -0.558619     0.00694872
         1         1        10      -0.715129     0.00669155
         1         1        11      -0.571082     0.00692752
         1         1        12      -0.645421     0.00670665
         1         1        13      -0.588735     0.00696811
         1         1        14       -0.58966     0.00668379
         1         1        15      -0.520954     0.00694111
         1         1        16      -0.552228     0.00669758
         1         1        17      -0.461714     0.00692249
         1         1        18      -0.468677      0.0067038
         1         1        19      -0.576445     0.00695382
         1         1        20      -0.723166     0.00665773
         1         1        21      -0.649369     0.00696067
         1         1        22      -0.615449     0.00670052
         1         1        23      -0.489452     0.00690504
         1         1        24      -0.695989     0.00674729
         1         1        25       -0.59588      0.0069245
         1         1        26      -0.694942     0.00669229
         1         1        27      -0.618286     0.00691775
         1         1        28      -0.347223     0.00668094
         1         1        29      -0.716679     0.00693281
         1         1        30      -0.569477     0.00675132
         1         1        31      -0.689214     0.00687508
         1         2         0      -0.686315     0.00678359
         1         2         1      -0.351534     0.00677877
         1         2         2        -0.7304     0.00681173
         1         2         3      -0.422162     0.00679786
         1         2         4      -0.538192     0.00679816
         1         2         5      -0.373273     0.00681968
         1         2         6      -0.570406     0.00679959
         1         2         7      -0.386166     0.00679643
         1         2         8      -0.680792     0.00675966
         1         2         9       -0.57295     0.00676879
         1         2        10      -0.830014     0.00685862
         1         2        11      -0.605915     0.00680292
         1         2        12      -0.734835     0.00680538
         1         2        13      -0.533974     0.00678667
         1         2        14      -0.509371     0.00686238
         1         2        15      -0.571716     0.00677955
         1         2        16      -0.718189     0.00680068
         1         2        17      -0.587517     0.00677847
         1         2        18      -0.657008     0.00687311
         1         2        19      -0.535404     0.00683989
         1         2        20      -0.805386     0.00681466
         1         2        21      -0.526798     0.00680133
         1         2        22      -0.656807     0.00682478
         1         2        23      -0.702313     0.00679109
         1         2        24      -0.562054     0.00686512
         1         2        25      -0.540077     0.00677442
         1         2        26      -0.808008     0.00681723
         1         2        27      -0.490745     0.00679831
         1         2        28      -0.644981     0.00684021
         1         2        29      -0.680031     0.00678072
         1         2        30      -0.682105     0.00678557
         1         2        31      -0.522395     0.00679312
         1         3         0      -0.439428     0.00715418
         1         3         1        -0.2039     0.00688063
         1         3         2      -0.301384     0.00717851
         1         3         3      -0.155203     0.00689908
         1         3         4      -0.512631     0.00717098
         1         3         5      -0.301798     0.00689812
         1         3         8       -8.22182      0.0165769
         1         3        11      -0.522756     0.00691873
         1         3        12      -0.591114     0.00711022
         1         3        13      -0.561694     0.00689402
         1         3        14      -0.719421      0.0071107
         1         3        15      -0.145073     0.00693327
         1         3        16      -0.411907     0.00723264
         1         3        17      -0.247201     0.00689685
         1         3        18      -0.511566     0.00718531
         1         3        19      -0.428582     0.00688512
         1         3        20      -0.605639     0.00717298
         1         3        21      -0.170554     0.00690931
         1         3        22      -0.688401     0.00716397
         1         3        23      -0.381333     0.00685609
         1         3        24      -0.577742     0.00719151
         1         3        25      -0.509187     0.00685593
         1         3        26      -0.679522     0.00720861
         1         3        27      -0.506131      0.0068432
         1         3        28      -0.860799     0.00709348
         1         3        29       -0.42443     0.00687619
         1         3        30      -0.653886     0.00713021
         1         3        31      -0.609131     0.00689915
         1         4         0      -0.612937     0.00702036
         1         4         1      -0.435339     0.00698543
         1         4         2      -0.677614     0.00699125
         1         4         3       -0.38172     0.00695097
         1         4         4      -0.471709     0.00708265
         1         4         5      -0.242133     0.00700454
         1         4         6      -0.261527     0.00700647
         1         4         7      -0.560189     0.00701546
         1         4         8       -0.60123     0.00703531
         1         4         9      -0.659382     0.00693753
         1         4        10      -0.868799     0.00704489
         1         4        11      -0.502864     0.00697371
         1         4        12      -0.808261      0.0069987
         1         4        13        -0.7312     0.00693053
         1         4        14      -0.689996     0.00699659
         1         4        15      -0.671267      0.0068908
         1         4        16       -0.51763     0.00699819
         1         4        17      -0.427408     0.00695727
         1         4        18      -0.737735     0.00701842
         1         4        19      -0.663831     0.00690313
         1         4        20      -0.765494     0.00696967
         1         4        21      -0.795149     0.00692329
         1         4        22      -0.635454     0.00694557
         1         4        23      -0.820099     0.00687795
         1         4        24      -0.758352     0.00694698
         1         4        25      -0.960716     0.00689405
         1         4        26      -0.545436     0.00696443
         1         4        27      -0.816313     0.00692335
         1         4        28      -0.730304     0.00696504
         1         4        29      -0.725787     0.00686226
         1         4        30       -1.16273     0.00692508
         1         4        31      -0.604886     0.00692844
         1         5         0      -0.312695     0.00720654
         1         5         1      -0.180125     0.00672109
         1         5         2      -0.358533     0.00692774
         1         5         3      -0.178337     0.00665006
         1         5         4       -0.42351     0.00685928
         1         5         5      -0.149284     0.00661057
         1         5         6      -0.466844     0.00686079
         1         5         7       -0.22454     0.00664736
         1         5         8      -0.620099     0.00685104
         1         5         9      -0.353827     0.00666062
         1         5        10       -1.02369     0.00694472
         1         5        11      -0.414026     0.00686447
         1         5        12      -0.552608     0.00717173
         1         5        13      -0.251845     0.00684859
         1         5        14      -0.733154     0.00713043
         1         5        15      -0.213205     0.00678373
         1         5        16      -0.351386      0.0070128
         1         5        17      -0.208048     0.00679838
         1         5        18      -0.611287     0.00702447
         1         5        19      -0.368018      0.0068616
         1         5        20      -0.542806     0.00708106
         1         5        21      -0.226597     0.00680681
         1         5        22      -0.398869     0.00696118
         1         5        23      -0.413882     0.00665181
         1         5        24      -0.526114     0.00685103
         1         5        25      -0.215907     0.00663343
         1         5        26      -0.627958     0.00692528
         1         5        27      -0.328726     0.00662993
         1         5        28       -0.77337     0.00681958
         1         5        29     -0.0549907     0.00606487
         1         5        30       -0.46763     0.00688225
         1         5        31      -0.276044     0.00702437
         1         6         0      -0.369086     0.00688436
         1         6         1      -0.340684     0.00677226
         1         6         2      -0.634614      0.0068529
         1         6         3      -0.187486     0.00676651
         1         6         4      -0.500445     0.00690801
         1         6         5      -0.350132     0.00677325
         1         6         6       -0.34332     0.00690014
         1         6         7     -0.0653901     0.00685031
         1         6         8      -0.879034     0.00687414
         1         6         9      -0.425959     0.00676098
         1         6        10      -0.641976     0.00686642
         1         6        11      -0.523026       0.006778
         1         6        12      -0.718409     0.00693174
         1         6        13      -0.576155     0.00680311
         1         6        14      -0.475855     0.00692176
         1         6        15      -0.313336     0.00682503
         1         6        16      -0.585619     0.00694083
         1         6        17       -0.49054     0.00677143
         1         6        18      -0.809712     0.00693252
         1         6        19      -0.461062     0.00676705
         1         6        20      -0.573278     0.00690718
         1         6        21      -0.495815     0.00674692
         1         6        22      -0.818189     0.00690744
         1         6        23      -0.504598     0.00676368
         1         6        24      -0.745862     0.00688071
         1         6        25      -0.561957     0.00674651
         1         6        26      -0.762315     0.00689461
         1         6        27      -0.486639     0.00675571
         1         6        28      -0.698511     0.00687505
         1         6        29      -0.393009     0.00677864
         1         6        30        -0.6806     0.00694015
         1         6        31      -0.457739     0.00678933
         1         7         0      -0.320236      0.0067717
         1         7         1      -0.215308     0.00691075
         1         7         2      -0.264303     0.00668748
         1         7         3       -0.28459     0.00695388
         1         7         4      -0.166884     0.00669907
