*Tele   CsI  Peak     Voltage     Channel
1 0  28 0.884 1132.8
1 0  29 0.933 1190.6
1 0  30 0.982 1248
1 0  31 1.031 1305.1
1 0  32 1.08 1361.7
1 0  33 1.129 1417.8
1 0  34 1.178 1473.3
1 0  35 1.227 1529.1
1 0  36 1.276 1583.4
1 0  37 1.325 1637.2
1 0  38 1.374 1690.4
1 0  39 1.423 1743.1
1 0  40 1.472 1796.6
1 0  41 1.521 1848.6
1 0  42 1.57 1900.2
1 0  43 1.619 1951.6
1 0  44 1.668 2002.6
1 0  45 1.717 2054.5
1 0  46 1.766 2105.2
1 0  47 1.815 2155.8
1 0  48 1.864 2206.4
1 0  49 1.913 2257.6
1 0  50 1.962 2307.9
1 0  51 2.011 2357.9
1 0  52 2.06 2407.9
1 0  53 2.109 2458.9
1 0  54 2.158 2508.6
1 0  55 2.207 2558.7
1 0  56 2.256 2608.5
1 0  57 2.305 2659.1
1 0  58 2.354 2708.8
1 0  59 2.403 2758.6
1 0  60 2.452 2808.2
1 0  61 2.501 2859
1 0  62 2.55 2908.5
1 0  63 2.599 2957.9
1 0  64 2.648 3007.4
1 0  65 2.697 3058
1 0  66 2.746 3107.5
1 0  67 2.795 3156.9
1 0  68 2.844 3206.4
1 0  69 2.893 3256.9
1 0  70 2.942 3306.4
1 0  71 2.991 3355.8
1 0  72 3.04 3405.1
1 0  73 3.089 3455.3
1 0  74 3.138 3504.6
1 0  75 3.187 3554.1
1 0  76 3.236 3603.2
1 0  77 3.285 3653.9
1 0  78 3.334 3703
1 0  79 3.383 3752
1 0  80 3.432 3801.1
1 0  81 3.481 3849.6
1 0  82 3.53 3895.7
1 0  83 3.579 3938.3
1 0  84 3.628 3978.3
1 1  1 0.01 81.035
1 1  2 0.019 91.57
1 1  3 0.028 101.997
1 1  4 0.037 112.147
1 1  5 0.046 122.54
1 1  6 0.051 128.5
1 1  7 0.055 133.081
1 1  8 0.064 142.429
1 1  9 0.073 153.066
1 1  10 0.082 163.782
1 1  11 0.091 174.578
1 1  12 0.1 185.3
1 1  13 0.149 243
1 1  14 0.198 300.6
1 1  15 0.247 357.8
1 1  16 0.296 415
1 1  17 0.345 472.2
1 1  18 0.394 530.4
1 1  19 0.443 587.6
1 1  20 0.492 644.9
1 1  21 0.541 702.1
1 1  22 0.59 759.4
1 1  23 0.639 816.7
1 1  24 0.688 873.8
1 1  25 0.737 932
1 1  26 0.786 989.1
1 1  27 0.835 1046.4
1 1  28 0.884 1103.4
1 1  29 0.933 1160.2
1 1  30 0.982 1216.8
1 1  31 1.031 1273.1
1 1  32 1.08 1330
1 1  33 1.129 1385.3
1 1  34 1.178 1440
1 1  35 1.227 1494.2
1 1  36 1.276 1547.8
1 1  37 1.325 1600.8
1 1  38 1.374 1654.5
1 1  39 1.423 1706.4
1 1  40 1.472 1758.2
1 1  41 1.521 1809.5
1 1  42 1.57 1861.5
1 1  43 1.619 1912.1
1 1  44 1.668 1962.4
1 1  45 1.717 2012.7
1 1  46 1.766 2063.6
1 1  47 1.815 2113.4
1 1  48 1.864 2163.3
1 1  49 1.913 2212.8
1 1  50 1.962 2263.4
1 1  51 2.011 2312.7
1 1  52 2.06 2362.1
1 1  53 2.109 2411.3
1 1  54 2.158 2461.4
1 1  55 2.207 2510.6
1 1  56 2.256 2559.6
1 1  57 2.305 2608.7
1 1  58 2.354 2658.6
1 1  59 2.403 2707.5
1 1  60 2.452 2756.4
1 1  61 2.501 2805.4
1 1  62 2.55 2855.2
1 1  63 2.599 2903.9
1 1  64 2.648 2952.6
