*    FB  Tele Strip  Intertcept   	Slope
     0     6    26   -0.994533    0.00769758
     0     6    27   -0.957282    0.00714043
     0     6    28   -1.138759    0.00771094
     0     6    29   -0.977966    0.00720550
     0     6    30   -1.167763    0.00767108
     0     6    31  -14.383085    0.02103137
     0     7     0   -0.977327    0.00720195
     0     7     1   -1.161861    0.00737486
     0     7     2   -1.147126    0.00720779
     0     7     3   -1.192383    0.00730282
     0     7     4   -1.083487    0.00737899
     0     7     5   -1.300045    0.00734682
     0     7     6   -1.110573    0.00725417
     0     7     7   -1.310776    0.00732390
     0     7     8   -1.128631    0.00721628
     0     7     9   -1.219061    0.00733454
     0     7    10   -1.034829    0.00728419
     0     7    11   -1.114462    0.00731233
     0     7    12   -1.116809    0.00724917
     0     7    13   -1.305405    0.00733977
     0     7    14   -1.068428    0.00723849
     0     7    15   -1.108554    0.00736860
     0     7    16   -1.156027    0.00726621
     0     7    17   -1.076507    0.00734157
     0     7    18   -1.144485    0.00723292
     0     7    19   -0.532194    0.00680520
     0     7    20   -1.046948    0.00724513
     0     7    21   -1.152172    0.00733204
     0     7    22   -1.145057    0.00723943
     0     7    23   -1.121835    0.00733661
     0     7    24   -1.173793    0.00726471
     0     7    25   -1.285045    0.00733314
     0     7    26   -1.056874    0.00722515
     0     7    27   -1.206641    0.00732377
     0     7    28   -1.166143    0.00725109
     0     7    29   -1.089990    0.00730304
     0     7    30   -1.057619    0.00723093
     0     7    31   -1.267145    0.00737220
     0     8     0   -0.900372    0.00723131
     0     8     1   -1.120352    0.00713990
     0     8     2   -1.110268    0.00731241
     0     8     3   -1.139811    0.00716238
     0     8     4   -1.138970    0.00726265
     0     8     5   -1.118383    0.00723504
     0     8     6   -0.941961    0.00726517
     0     8     7   -1.214348    0.00717427
     0     8     8   -1.090065    0.00725944
     0     8     9   -1.203897    0.00717518
     0     8    10   -1.058265    0.00725584
     0     8    11   -1.122034    0.00717230
     0     8    12   -1.044527    0.00727173
     0     8    13   -1.174297    0.00716689
     0     8    14   -1.071188    0.00729799
     0     8    15   -1.335029    0.00718758
     0     8    16   -1.039943    0.00727997
     0     8    17   -1.277062    0.00715577
     0     8    18   -0.978675    0.00729272
     0     8    19   -1.315853    0.00712511
     0     8    20   -0.995693    0.00726611
     0     8    21   -1.202603    0.00713053
     0     8    22   -1.029440    0.00726808
     0     8    23   -1.052861    0.00713180
     0     8    24   -1.037446    0.00729023
     0     8    25   -1.308550    0.00712725
     0     8    26   -1.078771    0.00727679
     0     8    27   -1.263084    0.00711628
     0     8    28   -1.018575    0.00725992
     0     8    29   -1.240444    0.00708628
     0     8    30   -1.067558    0.00726896
     0     8    31   -1.112598    0.00702095
     0     9     0   -1.050564    0.00732002
     0     9     1   -1.321161    0.00732484
     0     9     2   -1.117792    0.00734191
     0     9     3   -1.331900    0.00727201
     0     9     4   -1.122392    0.00737970
     0     9     5   -1.340816    0.00727894
     0     9     6   -1.188880    0.00735915
     0     9     7   -1.261873    0.00727796
     0     9     8   -1.118774    0.00735875
     0     9     9   -1.356570    0.00728852
     0     9    10   -1.025008    0.00737754
     0     9    11   -1.244604    0.00727633
     0     9    12   -1.150102    0.00734120
     0     9    13   -1.238746    0.00723874
     0     9    14   -1.074718    0.00735754
     0     9    15   -1.532238    0.00729411
     0     9    16   -1.120323    0.00738765
     0     9    17   -1.335901    0.00733946
     0     9    18   -1.045313    0.00736167
     0     9    19   -1.264793    0.00723534
     0     9    20   -0.992103    0.00735912
     0     9    21   -1.337074    0.00725838
     0     9    22   -1.255012    0.00736645
     0     9    23   -1.421296    0.00724925
     0     9    24   -1.100262    0.00730968
     0     9    25   -1.303099    0.00718994
     0     9    26   -1.145095    0.00736453
     0     9    27   -1.407866    0.00724648
     0     9    28   -1.184763    0.00734714
     0     9    29   -1.283935    0.00726925
     0     9    30   -1.287679    0.00732445
     0     9    31   -1.377563    0.00723609
     0    10     0   -0.896551    0.00710847
     0    10     1   -1.090895    0.00699151
     0    10     2   -0.955686    0.00713367
     0    10     3   -1.248173    0.00690150
     0    10     4   -1.132329    0.00713229
     0    10     5   -1.222471    0.00689927
     0    10     6   -1.114491    0.00708771
     0    10     7   -1.173460    0.00689197
     0    10     8   -0.938206    0.00715096
     0    10     9   -1.046054    0.00689723
     0    10    10   -0.943065    0.00711272
     0    10    11   -1.131663    0.00691274
     0    10    12   -0.919278    0.00714075
     0    10    13   -1.124070    0.00692116
     0    10    14   -1.133557    0.00713863
     0    10    15   -1.140599    0.00693106
     0    10    16   -1.088430    0.00711046
     0    10    17   -1.094605    0.00692972
     0    10    18   -1.102895    0.00713404
     0    10    19   -1.176677    0.00690811
     0    10    20   -1.112626    0.00711407
     0    10    21   -1.292744    0.00689114
     0    10    22   -0.983019    0.00709075
     0    10    23   -1.141016    0.00691676
     0    10    24   -1.044943    0.00711930
     0    10    25   -0.996910    0.00706045
     0    10    26   -1.100455    0.00712699
     0    10    27   -1.243903    0.00690772
     0    10    28   -1.066430    0.00710908
     0    10    29   -1.121179    0.00689977
     0    10    30   -1.150872    0.00711905
     0    10    31   -1.248020    0.00696737
     0    11     0   -1.136383    0.00717610
     0    11     1   -1.072988    0.00684647
     0    11     2   -1.052300    0.00716652
     0    11     3   -0.982583    0.00686017
     0    11     4   -0.970793    0.00718248
     0    11     5   -1.049910    0.00687188
     0    11     6   -1.145983    0.00720199
     0    11     7   -1.014163    0.00686430
     0    11     8   -1.005172    0.00715172
     0    11     9   -0.975872    0.00688977
     0    11    10   -1.046476    0.00717260
     0    11    11   -1.107446    0.00692052
     0    11    12   -1.075056    0.00716110
     0    11    13   -0.839928    0.00673168
     0    11    14   -1.139709    0.00718503
     0    11    15   -1.063786    0.00682104
     0    11    16   -1.196193    0.00719799
     0    11    17   -0.504432    0.00643102
     0    11    18   -1.078084    0.00717976
     0    11    19   -0.468635    0.00642145
     0    11    20   -1.046462    0.00716458
     0    11    21   -1.005156    0.00684242
     0    11    22   -1.077104    0.00714416
     0    11    23   -0.670679    0.00655532
     0    11    24   -1.052610    0.00717580
     0    11    25   -0.389890    0.00644583
     0    11    26   -1.079058    0.00718069
     0    11    27   -0.587466    0.00654752
     0    11    28   -1.116717    0.00716432
     0    11    29   -0.401254    0.00638732
     0    11    30   -1.018848    0.00720738
     0    11    31   -1.338089    0.00797961

     1     0     0   -0.415389    0.00667504
     1     0     1   -0.395929    0.00672996
     1     0     2   -0.467931    0.00664923
     1     0     3   -0.286191    0.00676206
     1     0     4   -0.305877    0.00668269
     1     0     5   -0.315939    0.00675228
     1     0     6   -0.484185    0.00675165
     1     0     7   -0.337491    0.00677941
     1     0     8   -0.541110    0.00667819
     1     0     9   -0.636169    0.00677011
     1     0    10   -0.572728    0.00666093
     1     0    11   -0.463142    0.00680731
     1     0    12   -0.590567    0.00666398
     1     0    13   -0.438781    0.00681189
     1     0    14   -0.478691    0.00676116
     1     0    15   -0.476046    0.00679344
     1     0    16   -0.566898    0.00664868
     1     0    17   -0.363859    0.00680821
     1     0    18   -1.207853    0.00666076
     1     0    19   -0.414767    0.00676720
     1     0    20   -0.666672    0.00662186
     1     0    21   -0.496654    0.00674605
     1     0    22   -0.511915    0.00669207
     1     0    23   -0.601971    0.00676517
     1     0    24   -0.663409    0.00663999
     1     0    25   -0.478538    0.00678333
     1     0    26   -0.679914    0.00666503
     1     0    27   -0.491600    0.00675655
     1     0    28   -0.616851    0.00663845
     1     0    29   -0.306110    0.00683571
     1     0    30   -0.779200    0.00660694
     1     0    31   -0.646665    0.00674555
     1     1     0   -0.368603    0.00671682
     1     1     1   -0.237621    0.00686292
     1     1     2   -0.515236    0.00663996
     1     1     3   -0.485795    0.00691585
     1     1     4   -0.330744    0.00680570
     1     1     5   -0.473226    0.00686257
     1     1     6   -0.473278    0.00665784
     1     1     7   -0.124898    0.00692882
     1     1     8   -0.393287    0.00687956
     1     1     9   -0.535306    0.00692421
     1     1    10   -0.710028    0.00669176
     1     1    11   -0.516893    0.00687887
     1     1    12   -0.643189    0.00670673
     1     1    13   -0.523330    0.00691086
     1     1    14   -0.597252    0.00669065
     1     1    15   -0.494298    0.00691186
     1     1    16   -0.539059    0.00668803
     1     1    17   -0.394349    0.00686205
     1     1    18   -0.464104    0.00670215
     1     1    19   -0.545856    0.00692301
     1     1    20   -0.711016    0.00664878
     1     1    21   -0.627517    0.00694180
     1     1    22   -0.616038    0.00670217
     1     1    23   -0.435027    0.00685575
     1     1    24   -0.678192    0.00673047
     1     1    25   -0.533862    0.00687439
     1     1    26   -0.683648    0.00668069
     1     1    27   -0.542929    0.00685312
