*telescope      Si num    F(1)B(0)      Intercept            Slope  SaturationPoint    Para_constant      Para_Linear   Para_quadratic         CHI2dof
         5           7           1        136.951          3.84704             1200               -1               -1               -1        0.0624908
         5           8           1        156.412          3.79272          1502.26               -1               -1               -1        0.0596423
         5           9           1        110.343          3.84623          1522.23               -1               -1               -1        0.0829537
         5          10           1        105.962          3.81284             1200               -1               -1               -1          0.22355
         5          11           1        125.191          3.80117          1518.32               -1               -1               -1         0.153239
         5          12           1        102.491          3.82531          1502.59               -1               -1               -1         0.196271
         5          13           1        100.406          3.82885             1200               -1               -1               -1         0.160438
         5          14           1        102.738          3.81459          1501.93               -1               -1               -1         0.195615
         5          15           1         139.86          3.84061          1502.47               -1               -1               -1        0.0839338
         5          16           1        131.471          3.87765             1200               -1               -1               -1        0.0712652
         5          17           1        58.6029          3.81488             1200               -1               -1               -1        0.0711232
         5          18           1        91.8219          3.77256             1200               -1               -1               -1          0.23872
         5          19           1        20.8495          3.84079             1200               -1               -1               -1         0.237619
         5          20           1        134.166          3.67099          1502.41               -1               -1               -1         0.860287
         5          21           1        58.6673          3.85213             1200               -1               -1               -1        0.0935959
         5          22           1         38.356          3.75356             1200               -1               -1               -1         0.422056
         5          23           1        82.6501          3.78307             1200               -1               -1               -1         0.257733
         5          24           1        119.638          3.77884             1200               -1               -1               -1         0.093585
         5          25           1         72.855           3.8411             1200               -1               -1               -1         0.323517
         5          26           1        105.867           3.8269          1510.69               -1               -1               -1         0.274045
         5          27           1        53.4303          3.79672          1573.49               -1               -1               -1         0.294131
         5          28           1        120.552          3.76853             1200               -1               -1               -1         0.166167
         5          29           1       -30.2794          3.84522             1200               -1               -1               -1        0.0780892
         5          30           1        80.2559          3.77519             1200               -1               -1               -1         0.251232
         5          31           1        10.9499          3.81917             1200               -1               -1               -1        0.0702407
         6           0           1         86.235          3.79575          1502.39               -1               -1               -1         0.152554
         6           1           1        104.111          3.63619             1200               -1               -1               -1          1.12133
         6           2           1        86.3946          3.77465          1502.74               -1               -1               -1         0.210843
         6           3           1        46.3453           3.7497             1200               -1               -1               -1        0.0901387
         6           4           1        111.767          3.80526             1200               -1               -1               -1         0.163622
         6           5           1        100.009          3.76521           1519.8               -1               -1               -1         0.546032
         6           6           1        43.3291          3.74325          1537.04               -1               -1               -1          2.94548
         6           7           1        2.94601          3.78851             1200               -1               -1               -1        0.0656083
         6           8           1        188.113          3.81734             1200               -1               -1               -1         0.066805
         6           9           1        110.592          3.75728             1200               -1               -1               -1        0.0712658
         6          10           1        104.471          3.75485          1502.42               -1               -1               -1         0.375796
         6          11           1         126.86          3.76457             1200               -1               -1               -1         0.124737
         6          12           1        56.3333          3.81833          1520.15               -1               -1               -1         0.157852
         6          13           1        160.601          3.69955             1200               -1               -1               -1         0.851161
         6          14           1        125.969          3.78253          1500.98               -1               -1               -1         0.179204
         6          15           1        112.019           3.9123             1200               -1               -1               -1        0.0506373
         6          16           1        115.939          3.79696          1501.63               -1               -1               -1         0.115397
         6          17           1        93.6995            3.772             1200               -1               -1               -1         0.192948
         6          18           1        121.674             3.81             1200               -1               -1               -1        0.0942044
         6          19           1        68.8516          3.78617          1505.93               -1               -1               -1         0.210577
         6          20           1        162.196          3.96212          1511.52               -1               -1               -1         0.129873
         6          21           1        119.596           3.7301          1509.84               -1               -1               -1          0.31681
         6          22           1        92.4219          3.79464             1200               -1               -1               -1         0.149996
         6          23           1        179.339          3.73973          2146.22               -1               -1               -1          5.40569
         6          24           1        112.265          3.80409           1520.3               -1               -1               -1         0.131957
         6          25           1        78.4673           3.8232          1501.65               -1               -1               -1         0.130194
         6          26           1       -32.2258          3.79968             1200               -1               -1               -1         0.164416
         6          27           1        70.0519          3.78407             1200               -1               -1               -1        0.0908013
         6          28           1       -20.5813          3.77048             1500               -1               -1               -1         0.553472
         6          29           1        93.7608          3.80181             1200               -1               -1               -1        0.0843628
         6          30           1        87.5933          3.79481             1200               -1               -1               -1         0.162672
         6          31           1          80.19          3.81464             1200               -1               -1               -1        0.0831739
         7           0           1        85.4465          3.81137             1200               -1               -1               -1         0.215745
         7           1           1        129.762          3.77664             1200               -1               -1               -1          0.29407
         7           2           1        124.757          3.82308             1200               -1               -1               -1        0.0978805
         7           3           1        63.7976          3.84873             1200               -1               -1               -1         0.100366
         7           4           1        100.692          3.70815             1200               -1               -1               -1          1.53178
         7           5           1         14.122          3.82479           1517.8               -1               -1               -1         0.194933
         7           6           1         119.36          3.82173             1200               -1               -1               -1         0.107969
         7           7           1        109.365             3.85          1523.74               -1               -1               -1         0.359774
         7           8           1        85.5548          3.82963             1200               -1               -1               -1         0.116978
         7           9           1         83.881          3.86371          1521.54               -1               -1               -1         0.095307
         7          10           1        23.4423          3.75594          1511.03               -1               -1               -1         0.843027
         7          11           1        119.073          3.82453             1200               -1               -1               -1         0.109482
         7          12           1        118.157          3.80497             1500               -1               -1               -1         0.615149
         7          13           1        92.1618          3.83413             1200               -1               -1               -1        0.0867125
         7          14           1        20.1252          3.82338             1200               -1               -1               -1         0.130806
         7          15           1        127.462          3.96814             1200               -1               -1               -1         0.107886
         7          16           1        65.7549          3.82488          1502.18               -1               -1               -1         0.133404
         7          17           1        30.6693          3.84858             1200               -1               -1               -1        0.0834517
         7          18           1        103.533          3.82186             1200               -1               -1               -1         0.725402
         7          19           1         59.169          3.78986             1200               -1               -1               -1         0.337638
         7          20           1        67.3667            3.815             1200               -1               -1               -1          0.18416
         7          21           1        95.4502          3.80849             1500               -1               -1               -1         0.213504
         7          22           1        28.1977          3.83283             1200               -1               -1               -1         0.134396
         7          23           1        58.8968          3.83324          1502.72               -1               -1               -1         0.135423
         7          24           1        32.4541          3.78937             1200               -1               -1               -1         0.151202
         7          25           1        10.4019          3.85755          1517.42               -1               -1               -1         0.213042
         7          26           1        28.5613          3.81982          1525.53               -1               -1               -1         0.204373
         7          27           1        58.6305          3.85584             1200               -1               -1               -1        0.0965211
         7          28           1        70.7588          3.77418             1200               -1               -1               -1         0.196245
         7          29           1       -1.43354          3.84338             1200               -1               -1               -1          0.10305
         7          30           1       -6.07574          3.79007             1200               -1               -1               -1         0.222213
         7          31           1        73.8954          3.86926          1501.96               -1               -1               -1         0.228984
         8           0           1         7.4526           3.8358             1200               -1               -1               -1         0.167262
         8           1           1        103.744          3.82086          1502.42               -1               -1               -1         0.136542
         8           2           1        45.2182          3.75921          1501.03               -1               -1               -1          0.50064
         8           3           1        101.688          3.83207             1200               -1               -1               -1          0.11655
         8           4           1        33.7824          3.81321             1200               -1               -1               -1         0.245742
         8           5           1        147.817          3.76309          1501.37               -1               -1               -1         0.639906
         8           6           1         44.976          3.82674          1502.66               -1               -1               -1         0.292128
         8           7           1        32.7652          3.83714             1200               -1               -1               -1        0.0818893
         8           8           1        85.5073          3.79332          1575.17               -1               -1               -1          0.99945
         8           9           1        136.955          3.81575             1200               -1               -1               -1        0.0763311
         8          10           1        112.587          3.80147             1200               -1               -1               -1         0.153022
         8          11           1        133.528          3.77649             1200               -1               -1               -1         0.220293
         8          12           1        13.3065          3.82829             1200               -1               -1               -1         0.141293
         8          13           1        185.401          3.80888           1517.5               -1               -1               -1         0.104753
         8          14           1        88.0272          3.78368             1200               -1               -1               -1         0.127871
         8          15           1        129.213          3.80052             1200               -1               -1               -1         0.101544
         8          16           1        55.6218           3.8082             1200               -1               -1               -1        0.0982379
         8          17           1       -8.05544          3.79105          1503.03               -1               -1               -1          0.36481
         8          18           1        65.6516          3.76682             1200               -1               -1               -1         0.364152
         8          19           1         70.913          3.83026          1501.56               -1               -1               -1         0.259832
         8          20           1       -21.1385          3.78196             1200               -1               -1               -1         0.362845
         8          21           1        56.5058          3.78665          1501.53               -1               -1               -1          0.33376
         8          22           1        17.4987          3.77474             1200               -1               -1               -1          0.29696
         8          23           1        94.0196          3.78702          1533.66               -1               -1               -1         0.306009
         8          24           1        129.591          3.76136             1200               -1               -1               -1         0.684469
         8          25           1         123.15           3.7928           1525.4               -1               -1               -1         0.215204
         8          26           1        62.4906          3.77289             1200               -1               -1               -1         0.318412
         8          27           1        79.8771          3.90102             1200               -1               -1               -1         0.176208
         8          28           1        84.5364          3.81771             1200               -1               -1               -1         0.136701
         8          29           1        75.0354           3.8396          1501.03               -1               -1               -1         0.183381
         8          30           1        65.5279          3.78623             1200               -1               -1               -1         0.871191
         8          31           1        50.4312          3.79997           1502.2               -1               -1               -1         0.243342
         9           0           1        47.4423          3.83393             1200               -1               -1               -1         0.246078
         9           1           1        80.5064          3.83879             1200               -1               -1               -1          0.13568
         9           2           1        76.9304          3.79331          1501.36               -1               -1               -1         0.412262
         9           3           1        80.9062          3.82269          1502.44               -1               -1               -1         0.505825
         9           4           1        47.0466          3.79451          1502.02               -1               -1               -1         0.730101
         9           5           1        131.799          3.81236             1200               -1               -1               -1         0.200857
         9           6           1        41.1562          3.80664             1200               -1               -1               -1         0.505044
         9           7           1        125.995          3.80678             1200               -1               -1               -1         0.180081
         9           8           1        103.314            3.736             1200               -1               -1               -1         0.600058
         9           9           1        141.437          3.83132             1200               -1               -1               -1         0.229788
         9          10           1         76.203          3.80352          1505.84               -1               -1               -1          0.22472
         9          11           1        189.183          3.69327          2140.97               -1               -1               -1           9.7322
         9          12           1        66.2504          3.81825          1541.32               -1               -1               -1         0.474882
         9          13           1        111.839          3.80919          1502.87               -1               -1               -1         0.290178
         9          14           1        54.9847          3.83797             1200               -1               -1               -1         0.298006
         9          15           1        166.838          3.81457             1200               -1               -1               -1         0.133375
